Source,Target,Weight
MESH:C535478,MESH:D005355,0.004163775156141568
MESH:C535478,MESH:D005901,0.003122831367106176
MESH:C535478,MESH:D008268,0.003122831367106176
MESH:C535478,MESH:D009222,0.0013879250520471894
MESH:C535478,MESH:D009223,0.002081887578070784
MESH:C535478,MESH:D015817,0.003122831367106176
MESH:C535478,MESH:D019636,0.004163775156141568
MESH:C535478,MESH:D057180,0.0013879250520471894
MESH:C535501,MESH:D012516,0.0017349063150589867
MESH:C535509,MESH:D001982,0.001040943789035392
MESH:C535509,MESH:D005910,0.0013879250520471894
MESH:C535516,MESH:C537060,0.001040943789035392
MESH:C535516,MESH:D001943,0.0013879250520471894
MESH:C535516,MESH:D002869,0.0024288688410825814
MESH:C535516,MESH:D007890,0.0017349063150589867
MESH:C535516,MESH:D008223,0.0017349063150589867
MESH:C535516,MESH:D009336,0.0024288688410825814
MESH:C535516,MESH:D009369,0.003816793893129771
MESH:C535516,MESH:D010554,0.0024288688410825814
MESH:C535516,MESH:D011123,0.0017349063150589867
MESH:C535523,MESH:D020022,0.001040943789035392
MESH:C535530,MESH:C536528,0.0013879250520471894
MESH:C535530,MESH:D006526,0.001040943789035392
MESH:C535530,MESH:D007239,0.0006939625260235947
MESH:C535530,MESH:D017204,0.0013879250520471894
MESH:C535531,MESH:D002527,0.001040943789035392
MESH:C535531,MESH:D055959,0.003122831367106176
MESH:C535533,MESH:C537243,0.0017349063150589867
MESH:C535533,MESH:C538008,0.001040943789035392
MESH:C535533,MESH:D000230,0.002081887578070784
MESH:C535533,MESH:D001005,0.002081887578070784
MESH:C535533,MESH:D001528,0.002081887578070784
MESH:C535533,MESH:D001649,0.002081887578070784
MESH:C535533,MESH:D001650,0.0006939625260235947
MESH:C535533,MESH:D001660,0.002775850104094379
MESH:C535533,MESH:D002780,0.0006939625260235947
MESH:C535533,MESH:D006223,0.002081887578070784
MESH:C535533,MESH:D006505,0.0013879250520471894
MESH:C535533,MESH:D006528,0.008327550312283136
MESH:C535533,MESH:D007890,0.002081887578070784
MESH:C535533,MESH:D008113,0.006245662734212352
MESH:C535533,MESH:D008151,0.002081887578070784
MESH:C535533,MESH:D009369,0.01977793199167245
MESH:C535533,MESH:D012734,0.001040943789035392
MESH:C535533,MESH:D016609,0.0017349063150589867
